bigram,n,theme,literal
behaviour immediately,1,NA,behaviour immediately
behaviour quickly,1,NA,behaviour quickly
behaviour refuted,1,NA,behaviour refuted
beheaded cod,1,NA,beheaded cod
beklagt von,1,NA,beklagt von
believed literally,1,NA,believed literally
bell announced,1,NA,bell announced
bell pull,1,NA,bell pull
belle isle,1,placename,belle isle
belles lettres,1,NA,belles lettres
bellows panted,1,NA,bellows panted
bells rang,1,NA,bells rang
belong totally,1,NA,belong totally
belonged 21,1,NA,belonged 21
belonged provided,1,NA,belonged provided
belongings harnessed,1,NA,belongings harnessed
beloved engine,1,NA,beloved engine
beloved god,1,NA,beloved god
beloved shortly,1,NA,beloved shortly
belt broke,1,NA,belt broke
belted intelligent,1,NA,belted intelligent
beluga 9,1,NA,beluga 9
bench explained,1,NA,bench explained
bend revealed,1,NA,bend revealed
bends brought,1,NA,bends brought
beneath heavy,1,NA,beneath heavy
beneath sea,1,NA,beneath sea
beneath shattered,1,NA,beneath shattered
benevolent merchant,1,NA,benevolent merchant
benevolent sincerity,1,NA,benevolent sincerity
bengal lights,1,NA,bengal lights
bent accompanied,1,NA,bent accompanied
bent forward,1,NA,bent forward
berg 1,1,NA,berg 1
berg drifting,1,NA,berg drifting
berg lightened,1,NA,berg lightened
berg lost,1,NA,berg lost
berg moved,1,NA,berg moved
berg stopped,1,NA,berg stopped
berg william,1,NA,berg william
bergs captive,1,NA,bergs captive
bering peoples,1,NA,bering peoples
berry bearing,1,NA,berry bearing
beryllium green,1,NA,beryllium green
beset 3,1,NA,beset 3
beset budington’s,1,NA,beset budington’s
beset chester,1,NA,beset chester
beset defenceless,1,NA,beset defenceless
beset dreadful,1,NA,beset dreadful
beset ice,1,NA,beset ice
beset protobathybius,1,NA,beset protobathybius
beset westward,1,NA,beset westward
bessels bay,1,NA,bessels bay
bessels fiord,1,placename,bessels fiord
bessels samuel,1,NA,bessels samuel
bessels sketch,1,NA,bessels sketch
bessels tyson,1,NA,bessels tyson
bessels view,1,NA,bessels view
bessels winter,1,NA,bessels winter
bestowed chester’s,1,NA,bestowed chester’s
betula nana,1,NA,betula nana
beverage paler,1,NA,beverage paler
bez antlers,1,NA,bez antlers
bezwyken dus,1,NA,bezwyken dus
bidden fair,1,NA,bidden fair
bids farewell,1,NA,bids farewell
bill passed,1,NA,bill passed
bill selection,1,NA,bill selection
billiard cloth,1,NA,billiard cloth
billiard table,1,NA,billiard table
billowing fog,1,NA,billowing fog
birch aspen,1,NA,birch aspen
birch attain,1,NA,birch attain
birch betula,1,NA,birch betula
bird appeared,1,NA,bird appeared
bird belonged,1,NA,bird belonged
bird bones,1,NA,bird bones
bird called,1,NA,bird called
bird dart,1,NA,bird dart
bird flew,1,NA,bird flew
bird occasionally,1,NA,bird occasionally
bird settles,1,NA,bird settles
bird soup,1,NA,bird soup
bird spear,1,NA,bird spear
bird wheeled,1,NA,bird wheeled
birds 19,1,NA,birds 19
birds appeared,1,NA,birds appeared
birds arrived,1,NA,birds arrived
birds crops,1,NA,birds crops
birds diet,1,NA,birds diet
birds disappeared,1,NA,birds disappeared
birds flew,1,NA,birds flew
birds fresh,1,NA,birds fresh
birds live,1,NA,birds live
birds nest,1,NA,birds nest
birds possessed,1,NA,birds possessed
birds predominate,1,NA,birds predominate
birds taste,1,NA,birds taste
birds winter,1,NA,birds winter
birthday suit,1,NA,birthday suit
bitches killed,1,NA,bitches killed
bite sized,1,NA,bite sized
bites scratches,1,NA,bites scratches
biting flies,1,NA,biting flies
biting wind,1,NA,biting wind
bitter antagonists,1,NA,bitter antagonists
bitter cold,1,NA,bitter cold
bitter conviction,1,NA,bitter conviction
bitter disappointment,1,NA,bitter disappointment
bitter enemies,1,NA,bitter enemies
bitter feeling,1,NA,bitter feeling
bitter gamey,1,NA,bitter gamey
bitter mockery,1,NA,bitter mockery
bitter mood,1,NA,bitter mood
bitter realization,1,NA,bitter realization
bitter strokes,1,NA,bitter strokes
bitterly despondently,1,NA,bitterly despondently
bituminous limestone,1,NA,bituminous limestone
bivalve shell,1,NA,bivalve shell
bizarre furred,1,NA,bizarre furred
bizarre games,1,NA,bizarre games
black 18,1,NA,black 18
black 9,1,NA,black 9
black appearance,1,NA,black appearance
black bank,1,NA,black bank
black bloody,1,NA,black bloody
black cloud,1,NA,black cloud
black colossus,1,NA,black colossus
black cook,1,NA,black cook
black crime,1,NA,black crime
black darkness,1,NA,black darkness
black funnel,1,NA,black funnel
black green,1,NA,black green
black guillemot,1,NA,black guillemot
black iris,1,NA,black iris
black lines,1,NA,black lines
black liquid,1,NA,black liquid
black mood,1,NA,black mood
black neck,1,NA,black neck
black oil,1,NA,black oil
black pemmican,1,NA,black pemmican
black pirate,1,NA,black pirate
black plates,1,NA,black plates
black rubber,1,NA,black rubber
black segment,1,NA,black segment
black shadows,1,NA,black shadows
black sheet,1,NA,black sheet
black ship’s,1,NA,black ship’s
black smoke,1,NA,black smoke
black storm,1,NA,black storm
black strata,1,NA,black strata
black surface,1,NA,black surface
black velvet,1,NA,black velvet
blackened bulb,1,NA,blackened bulb
blackened sails,1,NA,blackened sails
blackened thermometer,1,NA,blackened thermometer
blackish rock,1,NA,blackish rock
blackwell’s island,1,placename,blackwell’s island
blade lay,1,NA,blade lay
bladed propeller,1,NA,bladed propeller
blankets hot,1,NA,blankets hot
blatant partiality,1,NA,blatant partiality
blazing colours,1,NA,blazing colours
blazing flames,1,NA,blazing flames
bleached bones,1,NA,bleached bones
bleak existence,1,NA,bleak existence
blessed land,1,NA,blessed land
blew alternately,1,NA,blew alternately
blew impetuously,1,NA,blew impetuously
blew sharply,1,NA,blew sharply
blinding rays,1,NA,blinding rays
blinding snow,1,NA,blinding snow
blinding white,1,NA,blinding white
blindingly white,1,NA,blindingly white
blindness jimmy,1,NA,blindness jimmy
blink appeared,1,NA,blink appeared
blink extended,1,NA,blink extended
blink rose,1,NA,blink rose
blinking eyes,1,NA,blinking eyes
blinking light,1,NA,blinking light
blizzard conditions,1,NA,blizzard conditions
blizzard rose,1,NA,blizzard rose
blizzard sweep,1,NA,blizzard sweep
blizzards allowed,1,NA,blizzards allowed
blocked due,1,NA,blocked due
blocks dead,1,NA,blocks dead
blocks due,1,NA,blocks due
blocks lay,1,NA,blocks lay
blocks rattled,1,NA,blocks rattled
blocks scattered,1,NA,blocks scattered
blocks varies,1,NA,blocks varies
blonde danish,1,NA,blonde danish
blonde giant,1,NA,blonde giant
blondest cool,1,NA,blondest cool
blood coursing,1,NA,blood coursing
blood flows,1,NA,blood flows
blood formed,1,NA,blood formed
blood freezing,1,NA,blood freezing
blood gush,1,NA,blood gush
blood lust,1,NA,blood lust
blood marks,1,NA,blood marks
blood pours,1,NA,blood pours
blood red,1,NA,blood red
blood relatives,1,NA,blood relatives
blood rich,1,NA,blood rich
blood soaked,1,NA,blood soaked
blood trail,1,NA,blood trail
blooded greenlandic,1,NA,blooded greenlandic
bloodedly bite,1,NA,bloodedly bite
bloodedly cold,1,NA,bloodedly cold
bloody carcass,1,NA,bloody carcass
bloody steaks,1,NA,bloody steaks
bloody trade,1,NA,bloody trade
bloody wounds,1,NA,bloody wounds
blooming heliotropes,1,NA,blooming heliotropes
blooming stage,1,NA,blooming stage
blooming violet,1,NA,blooming violet
blooms developing,1,NA,blooms developing
blossom coloured,1,NA,blossom coloured
blossoms coloured,1,NA,blossoms coloured
blow impetuously,1,NA,blow impetuously
blow night,1,NA,blow night
blow violently,1,NA,blow violently
blowflies appeared,1,NA,blowflies appeared
blowing constantly,1,NA,blowing constantly
blowing fresh,1,NA,blowing fresh
blowing strongly,1,NA,blowing strongly
blowing whirling,1,NA,blowing whirling
blows rain,1,NA,blows rain
blows reverberated,1,NA,blows reverberated
blubber 2,1,NA,blubber 2
blubber adhering,1,NA,blubber adhering
blubber allowed,1,NA,blubber allowed
blubber house,1,NA,blubber house
blubber lamps,1,NA,blubber lamps
blubber layer,1,NA,blubber layer
blubber lint,1,NA,blubber lint
blubber removed,1,NA,blubber removed
blubber spade,1,NA,blubber spade
blubber specifically,1,NA,blubber specifically
blubber trough,1,NA,blubber trough
blue clouds,1,NA,blue clouds
blue coloured,1,NA,blue coloured
blue columns,1,NA,blue columns
blue crystal,1,NA,blue crystal
blue eyes,1,NA,blue eyes
blue glacier,1,NA,blue glacier
blue harebell,1,NA,blue harebell
blue ice,1,NA,blue ice
blue limestone,1,NA,blue limestone
blue mountain,1,NA,blue mountain
blue plateau,1,NA,blue plateau
blue ribbon,1,NA,blue ribbon
blue ridge,1,NA,blue ridge
blue rock,1,NA,blue rock
blue rows,1,NA,blue rows
blue sea,1,NA,blue sea
blue silhouette,1,NA,blue silhouette
blue silhouettes,1,NA,blue silhouettes
blue sky,1,NA,blue sky
blue variety,1,NA,blue variety
bluebells campanula,1,flora,bluebells campanula
blueberry bushes,1,flora,blueberry bushes
bluish flame,1,NA,bluish flame
bluish snowdrifts,1,NA,bluish snowdrifts
blunt needles,1,NA,blunt needles
blurred contours,1,NA,blurred contours
blurred outlines,1,NA,blurred outlines
board 30,1,NA,board 30
board bryan,1,NA,board bryan
board city,1,NA,board city
board congress,1,NA,board congress
board georgia,1,NA,board georgia
board ingegerd,1,NA,board ingegerd
board intrepid,1,NA,board intrepid
board lasted,1,NA,board lasted
board poor,1,NA,board poor
board sufficed,1,NA,board sufficed
board thick,1,NA,board thick
board tigress,1,NA,board tigress
board trips,1,NA,board trips
boards beams,1,NA,boards beams
boat 5,1,NA,boat 5
boat afloat,1,NA,boat afloat
boat altogether,1,NA,boat altogether
boat approaches,1,NA,boat approaches
boat arrived,1,NA,boat arrived
boat attempted,1,NA,boat attempted
boat beset,1,NA,boat beset
boat chester,1,NA,boat chester
boat considerable,1,NA,boat considerable
boat coverings,1,NA,boat coverings
boat designed,1,NA,boat designed
boat division’s,1,NA,boat division’s
boat george,1,NA,boat george
boat grant,1,NA,boat grant
boat handling,1,NA,boat handling
boat hans,1,NA,boat hans
boat laden,1,NA,boat laden
boat landed,1,NA,boat landed
boat lies,1,NA,boat lies
boat lowered,1,NA,boat lowered
boat meyer,1,NA,boat meyer
boat moved,1,NA,boat moved
boat originally,1,NA,boat originally
boat passing,1,NA,boat passing
boat proceeds,1,NA,boat proceeds
boat pushed,1,NA,boat pushed
boat reached,1,NA,boat reached
boat ready,1,NA,boat ready
boat refused,1,NA,boat refused
boat remains,1,NA,boat remains
boat returned,1,NA,boat returned
boat rowed,1,NA,boat rowed
boat safely,1,NA,boat safely
boat sail,1,NA,boat sail
boat set,1,NA,boat set
boat start,1,NA,boat start
boat started,1,NA,boat started
boat steerer,1,NA,boat steerer
boat sufficiently,1,NA,boat sufficiently
boat tents,1,NA,boat tents
boat tight,1,NA,boat tight
boat totally,1,NA,boat totally
boat ulysses,1,NA,boat ulysses
boat’s compass,1,NA,boat’s compass
boat’s compasses,1,NA,boat’s compasses
boat’s flag,1,NA,boat’s flag
boat’s progress,1,NA,boat’s progress
boats 2,1,NA,boats 2
boats 49,1,NA,boats 49
boats anticipating,1,NA,boats anticipating
boats approached,1,NA,boats approached
boats canvas,1,NA,boats canvas
boats caught,1,NA,boats caught
boats close,1,NA,boats close
boats closer,1,NA,boats closer
boats combined,1,NA,boats combined
boats demolished,1,NA,boats demolished
boats designated,1,NA,boats designated
boats drift,1,NA,boats drift
boats glided,1,NA,boats glided
boats grab,1,NA,boats grab
boats laden,1,NA,boats laden
boats lashed,1,NA,boats lashed
boats lay,1,NA,boats lay
boats left,1,NA,boats left
boats lowered,1,NA,boats lowered
boats manned,1,NA,boats manned
boats meant,1,NA,boats meant
boats move,1,NA,boats move
boats north,1,NA,boats north
boats pendulum,1,NA,boats pendulum
boats possess,1,NA,boats possess
boats pushed,1,NA,boats pushed
boats quickly,1,NA,boats quickly
boats selected,1,NA,boats selected
boats separate,1,NA,boats separate
boats setting,1,NA,boats setting
boatsteerers assembled,1,NA,boatsteerers assembled
boatsteerers cut,1,NA,boatsteerers cut
bobbing motions,1,NA,bobbing motions
bocca il,1,NA,bocca il
bodies sticking,1,NA,bodies sticking
bodily product,1,NA,bodily product
body appears,1,NA,body appears
body beneath,1,NA,body beneath
body merge,1,NA,body merge
body required,1,NA,body required
body tapers,1,NA,body tapers
body varies,1,NA,body varies
boeufs musqués,1,NA,boeufs musqués
bog close,1,NA,bog close
boggy lowlands,1,NA,boggy lowlands
boggy plateau,1,NA,boggy plateau
boiler discovered,1,NA,boiler discovered
boiler explosion,1,NA,boiler explosion
boiler fires,1,NA,boiler fires
boiler hummed,1,NA,boiler hummed
boiler left,1,NA,boiler left
boiling liquid,1,NA,boiling liquid
boisterous shaking,1,NA,boisterous shaking
boisterously pulled,1,NA,boisterously pulled
bold cape,1,NA,bold cape
bold commander,1,NA,bold commander
bold deeds,1,NA,bold deeds
bold hope,1,NA,bold hope
bold hunters,1,NA,bold hunters
bold seamen,1,NA,bold seamen
bold sweeps,1,NA,bold sweeps
boldest anticipations,1,NA,boldest anticipations
boldest expectations,1,NA,boldest expectations
boldest hopes,1,NA,boldest hopes
boldly defy,1,NA,boldly defy
boldly rising,1,NA,boldly rising
boldly sailed,1,NA,boldly sailed
boldly towering,1,NA,boldly towering
bolt heads,1,NA,bolt heads
bolt hole,1,NA,bolt hole
bolt holes,1,NA,bolt holes
bolts boat,1,NA,bolts boat
bombyx family,1,NA,bombyx family
bon voyage,1,NA,bon voyage
bonavista bay,1,placename,bonavista bay
bonavista lighthouse,1,NA,bonavista lighthouse
bone cylinder,1,NA,bone cylinder
bone fragments,1,NA,bone fragments
bone handle,1,NA,bone handle
bone hoop,1,NA,bone hoop
bone ivory,1,NA,bone ivory
bone mouthpiece,1,NA,bone mouthpiece
bone set,1,NA,bone set
bone skilfully,1,NA,bone skilfully
bone stick,1,NA,bone stick
bones months,1,NA,bones months
bones ribs,1,NA,bones ribs
bones serve,1,NA,bones serve
bones shells,1,NA,bones shells
book claims,1,NA,book claims
book owes,1,NA,book owes
book shelf,1,NA,book shelf
book shelves,1,NA,book shelves
book trade,1,NA,book trade
books shut,1,NA,books shut
boom announced,1,NA,boom announced
boom crashed,1,NA,boom crashed
boothia fury,1,NA,boothia fury
boothii flitted,1,NA,boothii flitted
booty hans,1,NA,booty hans
bordered directly,1,NA,bordered directly
bore northerly,1,NA,bore northerly
bore rusty,1,NA,bore rusty
bore scars,1,NA,bore scars
borealis repeatedly,1,NA,borealis repeatedly
bosom friend,1,NA,bosom friend
bosomed queens,1,NA,bosomed queens
boston harbour,1,NA,boston harbour
botanical collection,1,NA,botanical collection
botanical system,1,NA,botanical system
bottle shaped,1,NA,bottle shaped
bottom 1.4,1,NA,bottom 1.4
bottom broke,1,NA,bottom broke
bottom consists,1,NA,bottom consists
bottom inside,1,NA,bottom inside
bottom layer,1,NA,bottom layer
bottom sample,1,NA,bottom sample
bottomed boat,1,NA,bottomed boat
bottomed skiffs,1,NA,bottomed skiffs
boulder field,1,NA,boulder field
boulder hall,1,NA,boulder hall
boulder sketched,1,NA,boulder sketched
boulders beneath,1,NA,boulders beneath
boulders crashing,1,NA,boulders crashing
boulders lie,1,NA,boulders lie
boulders projected,1,NA,boulders projected
boulders protruding,1,NA,boulders protruding
bound arctic,1,NA,bound arctic
boundary coincide,1,NA,boundary coincide
boundary line,1,NA,boundary line
bounding cape,1,NA,bounding cape
boundless avatok,1,NA,boundless avatok
boundless lack,1,NA,boundless lack
bounds 4,1,NA,bounds 4
bow consisted,1,NA,bow consisted
bowen parry’s,1,NA,bowen parry’s
bowlder sic,1,NA,bowlder sic
bowling ball,1,NA,bowling ball
bows southward,1,NA,bows southward
bowsprit unannounced,1,NA,bowsprit unannounced
box barrel,1,NA,box barrel
box glasses,1,NA,box glasses
box sheltering,1,NA,box sheltering
boxes barrels,1,NA,boxes barrels
boxes casks,1,NA,boxes casks
boy reaches,1,NA,boy reaches
boy tobias,1,NA,boy tobias
boys distributed,1,NA,boys distributed
braaf nu,1,NA,braaf nu
brachiopods schuhmacher,1,NA,brachiopods schuhmacher
brackish 20,1,NA,brackish 20
brackish due,1,NA,brackish due
braine hoped,1,NA,braine hoped
braine immediately,1,NA,braine immediately
branched embayment,1,NA,branched embayment
branches measured,1,NA,branches measured
branches penetrated,1,NA,branches penetrated
branches repeatedly,1,NA,branches repeatedly
branches rise,1,NA,branches rise
branching shapes,1,NA,branching shapes
brass clock,1,NA,brass clock
brass fork,1,NA,brass fork
